Size	1	2	3	4
100	507627.0	46622.4	187515.6	82893.8
150	65955.4	41404.0	33106.0	35586.8
200	114374.2	31395.2	52097.6	58427.6
250	78958.6	33106.2	35244.8	35330.2
300	103082.4	38752.2	40633.8	41318.4
350	86914.4	34304.0	30454.0	29769.6
400	60480.6	54236.0	212238.6	90079.2
450	69634.2	31138.8	44740.2	104023.4
500	91020.4	947245.0	38923.4	58684.2
550	78017.6	60224.2	51840.4	103852.6
600	128318.4	32079.4	40891.0	32422.0
650	102141.6	51327.0	279134.8	276226.4
700	81610.2	99575.0	66126.6	67581.0
750	54919.8	54492.4	56716.6	56032.6
800	1524677.4	59112.0	61165.2	53294.8
850	80926.2	113005.6	40291.8	38751.8
900	87342.2	32592.8	32678.4	57315.6
950	112749.0	45339.6	109669.6	41489.4
1000	61507.0	51070.8	51669.2	57401.2
1050	94527.6	36357.0	65014.6	66212.4
1100	77675.6	69035.2	52525.2	45339.4
1150	57229.8	43457.2	42516.0	40035.0
1200	56887.4	51241.6	45424.6	39949.4
1250	76391.8	62277.0	47820.0	43286.0
1300	344406.4	45339.2	62790.6	50728.6
1350	146710.6	385125.8	84690.2	197695.6
1400	80669.4	44740.2	65271.2	71088.4
1450	70318.4	44997.0	45766.6	47819.8
1500	100259.4	46451.2	55091.6	55091.4
1550	201716.2	57058.6	112920.2	107445.2
1600	81439.4	73654.4	50043.8	91790.6
1650	121816.8	49872.8	132510.2	78873.0
1700	105220.4	76563.2	375202.8	145341.6
1750	92132.4	51156.0	56118.0	56460.2
1800	128745.8	102312.6	59454.2	269040.6
1850	96923.2	55006.0	73398.2	68094.4
1900	101114.6	109926.2	61507.8	65014.8
1950	114545.4	82294.8	86571.8	75451.0
2000	106333.4	58427.6	63303.6	68693.2
2050	104707.8	58684.0	62704.6	62191.6
2100	284353.4	71601.6	63987.8	145256.0
2150	161852.2	74168.2	67837.6	70746.2
2200	120191.4	64929.4	76392.0	69890.6
2250	117282.8	64415.8	67324.2	123698.8
2300	160825.8	67067.8	95468.8	270494.8
2350	123698.6	67324.2	71858.2	69462.8
2400	154067.6	90849.2	92218.0	168182.2
2450	135247.2	86400.8	79985.0	111722.6
2500	182040.8	481022.2	144828.4	229774.8
2550	136616.0	159970.0	217028.8	83235.6
2600	163220.8	73654.4	76563.4	82209.4
2650	142176.4	75451.2	82551.2	80070.6
2700	150987.8	177165.2	118993.8	99746.0
2750	158772.6	78531.0	83578.2	105991.0
2800	163050.0	92731.4	100601.6	100173.8
2850	246285.8	87170.8	83578.2	89395.0
2900	325415.2	167840.2	128318.2	92047.0
2950	166044.0	82637.0	83064.8	85545.6
3000	175539.4	86144.2	227209.0	114374.6
3050	203341.8	100772.6	86315.6	88197.4
3100	252273.4	95041.4	107701.4	138412.6
3150	174342.0	88882.0	87684.0	90678.2
3200	184436.2	104109.0	97350.8	91448.0
3250	265618.8	96067.6	171091.2	128061.6
3300	184350.8	92132.4	92132.4	97094.2
3350	196241.4	93928.8	93159.6	93501.0
3400	198551.2	96238.8	240981.6	217884.2
3450	195728.0	97265.2	96067.6	98633.8
3500	196840.2	100002.6	97094.2	98976.6
3550	209415.0	99746.0	135589.4	102740.2
3600	236875.8	139610.2	102141.2	111209.0
3650	237902.2	118994.0	157489.2	139952.4
3700	238244.2	122586.6	107017.6	110781.6
3750	244745.6	105220.8	121474.2	147908.4
3800	231314.8	103937.8	105563.4	105905.2
3850	264421.0	120276.8	122330.0	122843.6
3900	235506.6	109840.4	109412.6	133536.2
3950	236105.4	112321.4	110182.6	114288.8
4000	246799.0	110952.8	146111.6	125409.8
4050	251161.8	130627.8	117796.2	113348.2
4100	349453.6	146796.4	152442.4	206763.6
4150	249365.0	117539.2	115829.0	114545.4
4200	255524.4	223102.4	118480.6	128917.2
4250	369727.4	138327.0	136787.2	144315.2
4300	274600.8	120448.0	191194.2	145598.4
4350	277082.0	124811.2	152441.8	125495.0
4400	282214.8	162450.8	207790.0	130970.2
4450	331317.6	156634.0	129687.0	148849.2
4500	291796.0	124982.0	127462.6	134306.4
4550	353132.0	127633.6	132253.2	126351.0
4600	298040.6	156719.6	144144.2	141235.4
4650	311813.4	128232.8	130371.2	129772.4
4700	391712.8	162878.6	170577.6	133280.0
4750	301804.4	130627.6	151501.4	130884.2
4800	352874.8	148763.6	170492.2	144059.0
4850	353901.8	153810.8	151843.4	185804.8
4900	320709.8	137215.0	159114.6	137557.2
4950	381105.0	148763.4	135504.2	139695.6
5000	347742.2	171518.6	146967.4	164589.6
